time;vehicleCount;avgSpeed;congestionPresent;redLights;yellowLights;greenLights
1.00;0;0.000;false;0;0;6
2.00;0;0.000;false;0;0;6
3.00;0;0.000;false;0;0;6
4.00;0;0.000;false;0;0;6
5.00;0;0.000;false;0;0;6
6.00;0;0.000;false;0;0;6
7.00;2;2.363;false;0;0;6
8.00;2;3.858;false;0;0;6
9.00;2;5.178;false;0;0;6
10.00;2;6.499;false;0;0;6
11.00;2;7.735;false;0;0;6
12.00;2;8.346;false;0;0;6
13.00;2;8.407;false;0;0;6
14.00;2;8.392;false;0;0;6
15.00;2;7.623;false;0;0;6
16.00;2;6.536;false;0;0;6
17.00;2;7.311;false;0;0;6
18.00;2;7.427;false;0;0;6
19.00;2;7.956;false;0;0;6
20.00;2;8.823;false;0;0;6
21.00;2;8.946;false;0;0;6
22.00;2;8.876;false;0;0;6
23.00;2;8.895;false;0;0;6
24.00;2;8.949;false;0;0;6
25.00;2;8.934;false;0;0;6
26.00;2;8.986;false;0;0;6
27.00;2;8.972;false;0;0;6
28.00;2;8.968;false;0;0;6
29.00;2;8.914;false;0;0;6
30.00;2;8.922;false;0;0;6
31.00;2;8.938;false;0;6;0
32.00;2;8.787;false;0;6;0
33.00;2;7.775;false;0;6;0
34.00;2;7.338;false;6;0;0
35.00;2;8.186;false;6;0;0
36.00;2;8.749;false;3;0;3
37.00;2;8.955;false;3;0;3
38.00;2;8.910;false;3;3;0
39.00;2;8.931;false;3;3;0
40.00;2;8.913;false;3;3;0
41.00;2;8.709;false;6;0;0
42.00;2;7.633;false;6;0;0
43.00;2;6.298;false;6;0;0
44.00;2;6.429;false;6;0;0
45.00;2;7.168;false;6;0;0
46.00;2;8.132;false;6;0;0
47.00;2;8.906;false;6;0;0
48.00;2;8.913;false;6;0;0
49.00;2;8.085;false;6;0;0
50.00;2;7.006;false;6;0;0
51.00;2;5.794;false;6;0;0
52.00;2;6.357;false;6;0;0
53.00;2;7.902;false;6;0;0
54.00;2;8.557;false;6;0;0
55.00;2;8.903;false;6;0;0
56.00;2;8.721;false;6;0;0
57.00;2;7.631;false;6;0;0
58.00;2;6.518;false;6;0;0
59.00;2;7.279;false;6;0;0
60.00;2;8.248;false;6;0;0
61.00;2;8.070;false;6;0;0
62.00;2;6.967;false;6;0;0
63.00;2;6.579;false;6;0;0
64.00;2;7.951;false;3;0;3
65.00;2;8.427;false;3;0;3
66.00;2;8.951;false;3;0;3
67.00;1;7.922;false;3;0;3
68.00;1;7.991;false;3;0;3
69.00;1;7.999;false;3;0;3
70.00;1;7.977;false;3;0;3
71.00;1;7.933;false;0;0;6
72.00;1;7.954;false;0;0;6
73.00;1;7.953;false;0;3;3
74.00;1;7.980;false;0;3;3
75.00;1;7.964;false;0;3;3
76.00;1;7.951;false;3;0;3
77.00;1;7.969;false;3;0;3
78.00;1;7.963;false;3;0;3
79.00;1;7.954;false;3;0;3
80.00;1;7.975;false;3;0;3
81.00;1;7.977;false;3;0;3
82.00;1;7.950;false;3;0;3
83.00;1;7.995;false;3;0;3
84.00;1;8.000;false;3;0;3
85.00;1;7.993;false;3;0;3
86.00;1;7.522;false;3;0;3
87.00;1;4.522;false;3;0;3
88.00;1;1.522;false;3;0;3
89.00;1;0.000;false;3;0;3
90.00;1;0.000;false;3;0;3
91.00;1;0.000;false;3;0;3
92.00;1;0.000;false;3;0;3
93.00;201;1.005;false;3;0;3
94.00;201;1.167;false;3;3;0
95.00;201;1.290;false;3;3;0
96.00;201;1.455;false;3;3;0
97.00;201;1.623;false;6;0;0
98.00;201;1.805;false;6;0;0
99.00;201;1.948;false;6;0;0
100.00;201;2.031;false;6;0;0
101.00;201;2.087;false;6;0;0
102.00;201;2.156;false;6;0;0
103.00;201;2.255;true;6;0;0
104.00;201;2.359;true;6;0;0
105.00;201;2.468;true;6;0;0
106.00;201;2.525;true;3;0;3
107.00;201;2.649;true;3;0;3
108.00;201;2.745;true;3;3;0
109.00;201;2.809;true;3;3;0
110.00;201;2.845;true;3;3;0
111.00;201;2.903;true;6;0;0
112.00;201;2.990;true;6;0;0
113.00;201;3.025;false;6;0;0
114.00;201;3.029;true;6;0;0
